Date,Open,High,Low,Close,Adj Close,Volume
2003-04-14,57.389999,57.990002,57.250000,57.779999,35.368164,4927300
2003-04-15,56.500000,57.200001,55.500000,55.980000,34.266342,13151900
2003-04-16,55.980000,56.200001,53.950001,54.389999,33.293095,14857600
2003-04-17,54.500000,55.439999,54.500000,55.009998,33.672596,7654900
2003-04-21,55.520000,55.900002,55.040001,55.360001,33.886848,5406400
2003-04-22,54.750000,56.400002,54.720001,56.090000,34.333691,7359300
2003-04-23,56.200001,57.000000,56.049999,56.799999,34.768299,6474800
2003-04-24,57.410000,57.869999,56.380001,57.500000,35.196770,12304400
2003-04-25,57.500000,57.660000,55.799999,56.209999,34.407146,8366100
2003-04-28,56.299999,57.330002,56.200001,57.009998,34.896828,4361100
2003-04-29,56.849998,57.209999,56.500000,56.889999,34.823380,5867500
2003-04-30,56.340000,56.840000,56.169998,56.360001,34.498970,6948000
2003-05-01,56.360001,56.759998,55.509998,56.320000,34.474476,6119400
2003-05-02,55.950001,56.750000,55.549999,56.639999,34.670345,6287800
2003-05-05,56.259998,57.160000,56.259998,56.459999,34.560165,5830100
2003-05-06,56.709999,57.000000,56.400002,56.520000,34.596909,6477600
2003-05-07,56.520000,57.520000,56.450001,57.009998,34.896828,7731600
2003-05-08,57.009998,57.009998,56.049999,56.439999,34.547928,4605500
2003-05-09,55.599998,56.549999,55.599998,56.340000,34.486717,5803500
2003-05-12,56.090000,56.230000,55.549999,56.160000,34.376541,7878200
2003-05-13,56.000000,56.000000,55.150002,55.500000,33.972542,7999900
2003-05-14,55.869999,55.900002,55.009998,55.349998,33.880722,7506700
2003-05-15,55.490002,55.939999,55.240002,55.439999,33.935810,5033400
2003-05-16,55.209999,56.250000,55.209999,56.040001,34.452236,6511800
2003-05-19,55.700001,55.860001,54.000000,54.630001,33.585396,13579600
2003-05-20,54.820000,55.150002,53.330002,53.990002,33.191921,10068600
2003-05-21,54.099998,54.330002,53.180000,53.450001,32.859943,9953700
2003-05-22,53.450001,53.939999,53.220001,53.380001,32.816921,8354700
2003-05-23,53.270000,53.389999,52.599998,53.090000,32.638638,7360400
2003-05-27,52.700001,53.599998,52.549999,53.419998,32.841507,9297900
2003-05-28,53.700001,53.849998,53.230000,53.660000,32.989052,7836300
2003-05-29,53.910000,54.139999,53.220001,53.389999,32.823071,9358300
2003-05-30,53.549999,54.400002,53.349998,54.349998,33.413265,8080800
2003-06-02,54.349998,54.650002,53.130001,53.220001,32.718544,9658500
2003-06-03,53.220001,54.099998,53.220001,53.849998,33.105862,7575600
2003-06-04,53.980000,54.439999,53.400002,54.060001,33.234951,9262100
2003-06-05,52.500000,53.250000,51.630001,52.020000,31.980820,21248300
2003-06-06,53.250000,53.419998,52.299999,52.750000,32.429604,15792900
2003-06-09,52.500000,53.119999,52.090000,52.720001,32.411163,8017600
