,Date,Open,High,Low,Close,Adj Close,Volume,dias_da_semana,dia_ou_noite
248,2002-12-26,54.959998999999996,55.150002,53.689999,53.860001000000004,32.833496000000004,4564500,3,noite
249,2002-12-27,53.75,54.150002,53.0,53.110001000000004,32.376289,4307400,4,noite
250,2002-12-30,53.200001,54.130001,53.099998,53.779999,32.784721000000005,5465800,0,noite
251,2002-12-31,53.799999,54.169998,53.25,53.709998999999996,32.742053999999996,6322300,1,noite
252,2003-01-02,54.25,55.389998999999996,53.849998,55.330002,33.72961,6483400,3,noite
253,2003-01-03,56.0,56.939999,56.0,56.810001,34.631844,8743800,4,noite
254,2003-01-06,56.560001,57.549999,56.360001000000004,57.349998,34.961028999999996,5920900,0,noite
255,2003-01-07,57.099998,57.119999,55.900002,56.060001,34.174622,6527800,1,noite
256,2003-01-08,56.060001,56.369999,55.450001,55.73,33.973454,5548400,2,noite
257,2003-01-09,56.369999,57.099998,55.919998,56.849998,34.656234999999995,5949800,3,noite
258,2003-01-10,56.849998,57.25,56.330002,57.200001,34.869578999999995,5190500,4,noite
259,2003-01-13,57.200001,57.200001,55.759997999999996,56.040001000000004,34.162449,7579200,0,noite
260,2003-01-14,55.599998,56.470001,55.59,56.360001000000004,34.357535999999996,4987800,1,noite
261,2003-01-15,56.599998,56.610001000000004,54.869999,55.0,33.528439,7758700,2,noite
262,2003-01-16,55.700001,55.75,54.16,54.68,33.33337,7760500,3,noite
263,2003-01-17,54.689999,55.150002,54.529999,54.790001000000004,33.400421,5628700,4,noite
264,2003-01-21,55.299999,56.0,53.799999,53.990002000000004,32.91275,9805400,1,noite
265,2003-01-22,53.990002000000004,54.740002000000004,53.43,54.0,32.918839,9650200,2,noite
266,2003-01-23,54.450001,54.950001,54.25,54.799999,33.406532,6783600,3,noite
267,2003-01-24,54.810001,54.900002,53.169998,53.610001000000004,32.681090999999995,7866700,4,noite
268,2003-01-27,53.049999,53.450001,51.700001,52.18,31.809364000000002,10544800,0,noite
269,2003-01-28,52.799999,53.110001000000004,51.740002000000004,53.040001000000004,32.333611,7595000,1,noite
270,2003-01-29,52.25,52.900002,51.799999,52.400002,31.943462,9095300,2,noite
271,2003-01-30,52.27,52.549999,51.540001000000004,51.540001000000004,31.419196999999997,7733300,3,noite
272,2003-01-31,52.099998,53.799999,51.75,53.610001000000004,32.681090999999995,9962800,4,noite
273,2003-02-03,53.5,53.849998,52.959998999999996,53.34,32.516487,5852600,0,noite
274,2003-02-04,52.509997999999996,53.0,51.610001000000004,52.759997999999996,32.162914,7022900,1,noite
275,2003-02-05,52.759997999999996,53.200001,52.07,52.099998,31.760578000000002,5935200,2,noite
276,2003-02-06,52.110001000000004,52.259997999999996,51.380001,52.119999,31.772790999999998,6356600,3,noite
277,2003-02-07,51.700001,52.080002,51.330002,51.84,31.602077,6270800,4,noite
278,2003-02-10,51.41,52.98,51.23,52.040001000000004,31.723999,8070200,0,noite
279,2003-02-11,52.490002000000004,53.619999,51.779999,52.0,31.699621,8016600,1,noite
280,2003-02-12,51.799999,51.799999,50.0,50.0,30.480403999999997,15589100,2,noite
281,2003-02-13,49.990002000000004,51.849998,49.099998,51.310001,31.407771999999998,13309200,3,noite
282,2003-02-14,51.310001,52.5,51.200001,51.75,31.677109,8432700,4,noite
283,2003-02-18,53.0,53.950001,52.599998,53.060001,32.478966,8027900,1,noite
284,2003-02-19,53.009997999999996,53.139998999999996,52.200001,52.57,32.179039,4490800,2,noite
285,2003-02-20,53.099998,53.330002,51.599998,51.919998,31.781171999999998,5525400,3,noite
286,2003-02-21,52.48,53.799999,52.060001,53.48,32.736057,6473200,4,noite
287,2003-02-24,53.490002000000004,53.490002000000004,52.41,52.43,32.093342,5483600,0,noite
288,2003-02-25,51.860001000000004,52.849998,51.349998,52.759997999999996,32.295319,6165200,1,noite
289,2003-02-26,52.759997999999996,53.380001,51.82,51.82,31.719942,6069100,2,noite
290,2003-02-27,51.990002000000004,53.099998,51.799999,52.779999,32.307594,5478300,3,noite
291,2003-02-28,52.529999,53.040001000000004,52.110001000000004,52.450001,32.105583,6438700,4,noite
292,2003-03-03,53.16,53.439999,52.25,52.43,32.093342,5654400,0,noite
293,2003-03-04,52.439999,52.950001,51.68,51.689999,31.640377,5474600,1,noite
294,2003-03-05,51.52,52.900002,51.5,52.810001,32.325947,6676900,2,noite
295,2003-03-06,52.599998,53.740002000000004,52.299999,53.299999,32.625889,9287200,3,noite
